GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Avro Mapred API,org.apache.avro.mapred,AvroTextOutputFormat,50,0,0,0,9,0,2,0,2,0
Apache Avro Mapred API,org.apache.avro.mapred,HadoopReducer,18,0,0,0,3,0,3,0,3,0
Apache Avro Mapred API,org.apache.avro.mapred,HadoopCombiner,18,0,0,0,3,0,3,0,3,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroMultipleOutputs.InternalFileOutputFormat,68,0,8,0,15,0,5,0,1,0
Apache Avro Mapred API,org.apache.avro.mapred,SequenceFileRecordReader,11,0,0,0,2,0,1,0,1,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroKeyComparator,33,0,2,0,7,0,5,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroRecordReader,97,0,6,0,21,0,11,0,8,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroReducer,36,0,4,0,10,0,6,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,DelegatingInputFormat,233,0,16,0,44,0,12,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,SequenceFileInputFormat,14,0,0,0,3,0,2,0,2,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroOutputFormat,225,0,26,0,49,0,19,0,6,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroMultipleOutputs.new AvroCollector() {...},20,0,0,0,4,0,2,0,2,0
Apache Avro Mapred API,org.apache.avro.mapred,HadoopReducerBase.ReduceIterable,22,0,0,0,5,0,5,0,5,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroUtf8InputFormat.Utf8LineRecordReader,67,0,2,0,16,0,8,0,7,0
Apache Avro Mapred API,org.apache.avro.mapred,SequenceFileReader.WritableData,23,0,2,0,7,0,5,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,SequenceFileReader,378,0,20,0,78,0,34,0,24,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroValue,8,0,0,0,4,0,2,0,2,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroAsTextInputFormat,61,0,6,0,10,0,6,0,3,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroWrapper,44,21,12,0,11,9,8,5,2,5
Apache Avro Mapred API,org.apache.avro.mapred,Pair,891,0,18,0,234,0,113,0,103,0
Apache Avro Mapred API,org.apache.avro.mapred,DelegatingMapper,52,0,6,0,12,0,6,0,3,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroSerialization.AvroWrapperSerializer,36,0,0,0,11,0,4,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroInputFormat,63,0,6,0,11,0,6,0,3,0
Apache Avro Mapred API,org.apache.avro.mapred,MapCollector,62,0,2,0,15,0,3,0,2,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroKey,8,0,0,0,4,0,2,0,2,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroMultipleInputs,244,0,12,0,44,0,14,0,8,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroSerialization,76,0,6,0,17,0,8,0,5,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroAsTextRecordReader,148,0,10,0,33,0,13,0,8,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroTextOutputFormat.AvroTextRecordWriter,161,0,26,0,39,0,18,0,5,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroCollector,3,0,0,0,1,0,1,0,1,0
Apache Avro Mapred API,org.apache.avro.mapred,HadoopMapper,46,0,4,0,10,0,6,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroOutputFormat.new RecordWriter() {...},19,0,0,0,5,0,3,0,3,0
Apache Avro Mapred API,org.apache.avro.mapred,TaggedInputSplit,147,0,0,0,39,0,14,0,14,0
Apache Avro Mapred API,org.apache.avro.mapred,HadoopReducer.ReduceCollector,26,0,0,0,7,0,2,0,2,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroMapper,9,0,0,0,5,0,4,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroMultipleOutputs,531,0,56,0,94,0,51,0,23,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroUtf8InputFormat,33,0,2,0,7,0,5,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroMultipleOutputs.RecordWriterWithCounter,30,0,0,0,10,0,3,0,3,0
Apache Avro Mapred API,org.apache.avro.mapred,AvroSerialization.AvroWrapperDeserializer,58,0,6,0,13,0,7,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,HadoopReducerBase,43,0,2,0,11,0,5,0,4,0
Apache Avro Mapred API,org.apache.avro.mapred,FsInput,11,33,0,0,3,10,2,5,2,5
